"TaxiID","Lon","Lat","datetime","Event","row_number"
"68834","116.4258","39.92768","20121105085425","1","1611244"
"69364","116.3721","39.89921","20121105084612","1","1712781"
"69744","116.4506","39.95518","20121105085053","1","1751283"
"22714","116.3179","39.84646","20121105085010","1","443637"
"25844","116.2999","39.97842","20121105083435","1","565524"
"25847","116.3495","39.98017","20121105085324","1","569953"
"38654","116.2586","39.89032","20121105083923","1","727181"
"63402","116.2791","39.93085","20121105084000","1","864008"
"37104","116.3009","39.89599","20121105082342","1","695547"
"63409","116.4348","39.91615","20121105082751","1","919174"
"63445","116.293","39.88543","20121105082058","1","1125442"
"63406","116.3669","39.98575","20121105084130","1","894055"
"63464","116.2808","39.92621","20121105084437","1","1211860"
"63294","116.3332","39.93671","20121105084645","1","844687"
"63324","116.2449","39.84792","20121105082904","1","847077"
"63284","116.4074","39.91623","20121105083409","1","842152"
"63294","116.349","39.98014","20121105080853","1","843988"
"63440","116.3129","39.89623","20121105081415","1","1102062"
"63494","116.3065","39.94184","20121105084148","1","1374612"
"63437","116.3461","40.03882","20121105085825","1","1085084"
"63467","116.3474","39.87178","20121105085547","1","1232688"
"68704","116.3891","39.88411","20121105082711","1","1579129"
"68794","116.2962","39.88855","20121105085206","1","1598083"
"63403","116.2305","39.9026","20121105085057","1","873474"
"63403","116.1298","39.94468","20121105081531","1","876716"
"63432","116.4122","39.89524","20121105085311","1","1056444"
"63446","116.1806","39.92095","20121105080927","1","1133037"
"23504","116.2717","39.91635","20121105085809","1","503160"
"63314","116.1978","39.90611","20121105084621","1","846102"
"63418","116.395","39.95016","20121105081503","1","975222"
"63440","116.3297","39.88823","20121105083935","1","1101264"
"63468","116.4609","39.92847","20121105081411","1","1238691"
"63412","116.2689","39.90452","20121105082009","1","940816"
"63434","116.3151","39.86983","20121105083726","1","1066245"
"63443","116.2988","39.98262","20121105081434","1","1116735"
"63467","116.3256","39.90964","20121105082925","1","1232783"
"66548","116.3671","40.00012","20121105085510","1","1431895"
"63474","116.4054","40.11478","20121105082129","1","1269171"
"63480","116.4207","39.93507","20121105080537","1","1312591"
"22344","116.3474","39.92617","20121105085727","1","370225"
"23404","116.2689","39.92609","20121105081910","1","500263"
"63418","116.2782","39.95796","20121105085810","1","973745"
"63247","116.3961","39.81616","20121105085817","1","831950"
"63247","116.4574","39.92188","20121105080842","1","832993"
"63437","116.2585","39.90742","20121105080037","1","1086757"
"63429","116.4031","39.99735","20121105082018","1","1036287"
"63430","116.4982","40.00062","20121105083023","1","1042556"
"63464","116.3486","39.92236","20121105081549","1","1212754"
"63409","116.4275","39.89253","20121105084549","1","918080"
"63445","116.2888","39.90545","20121105081336","1","1129192"
"63400","116.4577","39.98442","20121105080106","1","855276"
"63412","116.3033","39.90756","20121105084725","1","937200"
"63413","116.3744","39.95396","20121105085403","1","943233"
"63433","116.4826","39.79603","20121105080740","1","1059885"
"63433","116.4116","39.85578","20121105084736","1","1065233"
"63455","116.3046","39.88834","20121105084153","1","1174381"
"66548","116.4518","40.00651","20121105081019","1","1431519"
"20344","116.3954","39.96206","20121105083926","1","70725"
"63424","116.4399","39.92377","20121105082404","1","1006157"
"63294","116.2754","39.95308","20121105082845","1","844180"
"63314","116.1561","39.92845","20121105082823","1","845397"
"63491","116.4235","39.90629","20121105084954","1","1369667"
"63414","116.4636","39.91341","20121105084427","1","947026"
"63482","116.3159","40.02926","20121105081209","1","1325930"
"66540","116.311","39.85606","20121105083705","1","1408290"
"66540","116.3867","39.85585","20121105082549","1","1409009"
"21974","116.3163","39.95548","20121105081929","1","323761"
"22714","116.3402","39.84505","20121105082112","1","445676"
"25844","116.3167","39.9656","20121105084738","1","564503"
"25846","116.3653","39.86421","20121105082300","1","567779"
"38654","116.2255","39.87546","20121105082626","1","728169"
"37104","116.3766","39.85586","20121105080523","1","695778"
"53084","116.3223","39.93598","20121105080534","1","761326"
"63426","116.3239","39.89559","20121105083350","1","1019651"
"63435","116.289","39.97293","20121105080747","1","1076040"
"63469","116.4724","40.00216","20121105081554","1","1245563"
"63470","116.3586","40.0077","20121105081844","1","1247735"
"66649","116.4242","39.9676","20121105085121","1","1461836"
"63435","116.2587","39.88359","20121105084317","1","1076112"
"66934","116.2926","39.95803","20121105084634","1","1517024"
"63424","116.4261","39.95312","20121105083528","1","1002113"
"69741","116.2829","40.03257","20121105083746","1","1740437"
"63476","116.5112","39.92382","20121105082003","1","1281381"
"77406","116.5076","39.93153","20121105081024","1","1812969"
"63446","116.2084","39.902","20121105084151","1","1134908"
"69704","116.3156","39.93118","20121105084019","1","1734735"
"69704","116.3187","39.94234","20121105083512","1","1734737"
"63409","116.4112","39.92478","20121105081013","1","912559"
"63412","116.2945","39.92244","20121105083923","1","939431"
"63412","116.3081","39.88525","20121105085653","1","940867"
"63494","116.3503","39.94492","20121105080330","1","1373719"
"66544","116.4111","39.80279","20121105085239","1","1420883"
"63432","116.3482","39.86592","20121105082439","1","1053043"
"63476","116.5084","39.90686","20121105083933","1","1284027"
